time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/reward,train/approx_kl,train/loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/std,train/n_updates,train/explained_variance,train/clip_range,train/clip_fraction,train/entropy_loss
347,139264,400,68,-2.7053175,0.015352169,11011.9775390625,20216.94769897461,0.00025,-0.05620711859955918,1.1021636724472046,670,0.149478018283844,0.2,0.15654296875,-45.4715934753418
347,141312,406,69,-108.54471,0.015581606,14097.2314453125,28845.855139160158,0.00025,-0.04458022416511085,1.1031657457351685,680,0.14311403036117554,0.2,0.132470703125,-45.486752128601076
346,143360,414,70,-39.622223,0.014822823,7715.50732421875,18063.265234375,0.00025,-0.057385986158624294,1.104427695274353,690,0.1787596344947815,0.2,0.159375,-45.51955201625824
346,145408,420,71,112.95405,0.013556013,10500.0810546875,19698.1920715332,0.00025,-0.050676581988227554,1.1062060594558716,700,0.12442606687545776,0.2,0.140673828125,-45.56232991218567
346,147456,425,72,115.80448,0.0133963665,9877.5263671875,25556.89923706055,0.00025,-0.04984876895177877,1.1090197563171387,710,0.13215851783752441,0.2,0.133740234375,-45.624284625053406
346,149504,431,73,-99.2084,0.01232806,17983.775390625,38500.301049804686,0.00025,-0.04822213937586639,1.1094985008239746,720,0.1432703137397766,0.2,0.11767578125,-45.668242120742796
346,151552,437,74,-10.245371,0.017343141,19279.228515625,39648.1546875,0.00025,-0.04053960794117302,1.1112511157989502,730,0.1556878685951233,0.2,0.171923828125,-45.69976997375488
346,153600,443,75,-525.58875,0.011857883,25361.42578125,41864.664001464844,0.00025,-0.04434688181790989,1.1130623817443848,740,0.1366519331932068,0.2,0.1080078125,-45.74639625549317
346,155648,449,76,36.784428,0.016904768,6363.69580078125,15289.097708129882,0.00025,-0.058734401609399356,1.1156471967697144,750,0.20857834815979004,0.2,0.18154296875,-45.80436465740204
346,157696,455,77,-478.9195,0.01819137,12449.46875,22917.912872314453,0.00025,-0.044790428277337924,1.1172717809677124,760,0.14559102058410645,0.2,0.17744140625,-45.86801471710205
346,159744,460,78,43.717308,0.01236813,22762.322265625,41285.36610107422,0.00025,-0.045425237319432196,1.1186059713363647,770,0.12147212028503418,0.2,0.11298828125,-45.905458736419675
346,161792,466,79,-148.28311,0.022749206,11638.9453125,34888.5287109375,0.00025,-0.03858417812152766,1.1200579404830933,780,0.136366069316864,0.2,0.192138671875,-45.939050149917605
346,163840,472,80,-43.583313,0.018186055,26137.265625,72609.87985839843,0.00025,-0.034141448717855384,1.120368480682373,790,0.13749122619628906,0.2,0.15224609375,-45.9615713596344
346,165888,478,81,-176.3853,0.012322543,19652.99609375,44059.18629150391,0.00025,-0.04503832674818113,1.121307611465454,800,0.18211370706558228,0.2,0.11396484375,-45.98128023147583
346,167936,484,82,-243.86511,0.019314025,2996.156982421875,9349.638882446288,0.00025,-0.06500288344686851,1.1243351697921753,810,0.0852929949760437,0.2,0.212744140625,-46.04471650123596
346,169984,490,83,70.03661,0.01979827,10092.0068359375,21332.552172851563,0.00025,-0.0549252275028266,1.127346396446228,820,0.15817904472351074,0.2,0.202197265625,-46.11835136413574
346,172032,496,84,-90.40282,0.012372259,11481.8994140625,30734.19210205078,0.00025,-0.047045395980239844,1.128716230392456,830,0.1607125997543335,0.2,0.118896484375,-46.178345465660094
346,174080,502,85,121.978966,0.013684277,15508.74609375,31948.833038330078,0.00025,-0.051234754850156605,1.1295124292373657,840,0.13868999481201172,0.2,0.139599609375,-46.204524302482604
346,176128,507,86,150.62862,0.015540787,15439.640625,25377.826373291016,0.00025,-0.05329630778287538,1.1311372518539429,850,0.17448675632476807,0.2,0.153857421875,-46.237188410758975
346,178176,513,87,122.05201,0.015416917,11401.6015625,26668.929565429688,0.00025,-0.05771135322574992,1.1330950260162354,860,0.15282374620437622,0.2,0.155419921875,-46.2865394115448
346,180224,519,88,153.27997,0.025205549,12355.08203125,18359.602084350587,0.00025,-0.04738347846432589,1.134161353111267,870,0.16800957918167114,0.2,0.24140625,-46.321726250648496
346,182272,525,89,94.18172,0.01471791,19725.458984375,32185.016595458983,0.00025,-0.050142588259768674,1.1373512744903564,880,0.1489177942276001,0.2,0.151171875,-46.38300573825836
346,184320,531,90,9.109578,0.01575945,12304.009765625,23687.732299804688,0.00025,-0.05481063270708546,1.1389577388763428,890,0.1438276767730713,0.2,0.1669921875,-46.44378008842468
346,186368,537,91,73.92715,0.026959978,6042.35693359375,18319.269885253907,0.00025,-0.04896071414405014,1.141579270362854,900,0.1278666853904724,0.2,0.238427734375,-46.50130295753479
346,188416,543,92,-445.14456,0.016307982,9370.2197265625,22570.041131591795,0.00025,-0.055141392984660344,1.1440918445587158,910,0.18057864904403687,0.2,0.171044921875,-46.56328375339508
346,190464,549,93,455.41473,0.014762415,8914.4716796875,21998.999774169923,0.00025,-0.05506062648491934,1.147979497909546,920,0.08882737159729004,0.2,0.14619140625,-46.65398941040039
346,192512,555,94,-85.37113,0.014218674,16467.3125,28160.060943603516,0.00025,-0.0484444706060458,1.1492542028427124,930,0.12826788425445557,0.2,0.142236328125,-46.716390585899354
346,194560,560,95,-20.213667,0.022813471,13143.33203125,29125.281256103517,0.00025,-0.0436475222959416,1.1524956226348877,940,0.17525875568389893,0.2,0.2310546875,-46.778481817245485
346,196608,566,96,101.08282,0.013629067,17675.208984375,37884.42775878906,0.00025,-0.048752078699180856,1.1559888124465942,950,0.16401594877243042,0.2,0.12529296875,-46.86980152130127
346,198656,572,97,-50.795258,0.014768109,13822.7080078125,33927.65985107422,0.00025,-0.05269612485426478,1.1570862531661987,960,0.1755353808403015,0.2,0.13974609375,-46.92129466533661
346,200704,578,98,294.1711,0.01612066,20834.009765625,33756.98529663086,0.00025,-0.05665857048588805,1.1609768867492676,970,0.15525972843170166,0.2,0.168994140625,-46.99882471561432
