time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/reward,train/learning_rate,train/approx_kl,train/clip_fraction,train/std,train/value_loss,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/loss
109,172032,1576,84,412.47333,0.00025,0.01716429,0.175732421875,1.1188976764678955,38100.63077392578,830,0.2,0.38340431451797485,-0.04589462890435243,-45.88834819793701,35020.57421875
110,174080,1581,85,-42.382572,0.00025,0.030268561,0.263720703125,1.1210228204727173,33458.55333251953,840,0.2,0.38931936025619507,-0.033331018191529435,-45.94390392303467,12892.0830078125
110,176128,1586,86,-0.25734755,0.00025,0.0139588695,0.144189453125,1.1223182678222656,37156.139477539065,850,0.2,0.4132862091064453,-0.04768526586994994,-45.991789603233336,15556.4541015625
111,178176,1592,87,-71.22444,0.00025,0.023300942,0.248779296875,1.124485731124878,25172.12467651367,860,0.2,0.46747440099716187,-0.04249078835418914,-46.03616919517517,11786.5546875
112,180224,1597,88,-704.4896,0.00025,0.019602414,0.203955078125,1.1257256269454956,28306.395153808593,870,0.2,0.420859694480896,-0.044676778071152515,-46.08574607372284,13232.529296875
113,182272,1602,89,-261.85794,0.00025,0.014580642,0.148095703125,1.1279346942901611,40083.34097900391,880,0.2,0.4015471339225769,-0.046144164877478036,-46.120995831489566,37905.359375
114,184320,1608,90,126.51984,0.00025,0.014839783,0.143115234375,1.1299957036972046,49940.416186523435,890,0.2,0.3891490697860718,-0.0417784091521753,-46.1857045173645,18692.03125
115,186368,1613,91,-66.68381,0.00025,0.012682181,0.1142578125,1.133140206336975,54922.87993164062,900,0.2,0.376751184463501,-0.04062733563187067,-46.25982747077942,22340.314453125
116,188416,1618,92,349.66766,0.00025,0.012894099,0.118017578125,1.1351627111434937,57102.42834472656,910,0.2,0.4098108410835266,-0.04317487603984773,-46.32375886440277,16446.791015625
117,190464,1623,93,180.19537,0.00025,0.019093238,0.1908203125,1.1370093822479248,25581.023791503907,920,0.2,0.4468681216239929,-0.04977129879989661,-46.37124981880188,11037.7744140625
118,192512,1629,94,0.06669601,0.00025,0.01422045,0.14755859375,1.137163758277893,33645.9886352539,930,0.2,0.3092712163925171,-0.04566019414633047,-46.388859677314755,21276.62109375
119,194560,1634,95,164.13628,0.00025,0.013614163,0.136865234375,1.1409975290298462,39931.74662475586,940,0.2,0.3174501657485962,-0.04355060180387227,-46.45178110599518,26276.05078125
119,196608,1639,96,41.784283,0.00025,0.015721634,0.148828125,1.1433323621749878,50707.51986083984,950,0.2,0.3680756092071533,-0.03963223627797561,-46.52526848316192,12995.091796875
120,198656,1644,97,-47.250713,0.00025,0.013045645,0.1318359375,1.1453925371170044,57951.73524169922,960,0.2,0.36758774518966675,-0.042905879103636836,-46.58668670654297,43123.83203125
121,200704,1650,98,368.54648,0.00025,0.012640417,0.1193359375,1.147564172744751,57137.62508544922,970,0.2,0.39306753873825073,-0.042562661293777636,-46.632993006706236,29964.046875
